id,Numéro d'article,Nom du produit,Numéro du lot,Emplacement,Site,Entrepôt,Stock physique,Physique disponible
1,AAB-BC,ACIER POUR ARMATURE DE BETON,OF26-0101,500,MAKLADA,PFCL,2014.0,2014.0
2,AAB-BC,ACIER POUR ARMATURE DE BETON,OF26-0101,500,MAKLADA,PFCL,1987.0,1987.0
3,AAB-BC,ACIER POUR ARMATURE DE BETON,OF26-0101,500,MAKLADA,PFCL,2034.0,2034.0
4,AAB-BC,ACIER POUR ARMATURE DE BETON,OF23-0463,800,MAKLADA,PFCL,,
5,ACSR-HC,ACSR,OF16-0033,250,MAKLADA,PFCL,159.0,159.0
6,ASS-CREDIT-EXPORT,ASSURANCE-CREDIT-EXPORT,,,MAKLADA,ADMN,4.0,4.0
7,ASS-CREDIT-LOCAL,ASSURANCE-CREDIT-LOCAL,,,MAKLADA,ADMN,4.0,4.0
8,ASS-INTERIMAIRE,ASSURANCE INTERIMAIRE,,,MAKLADA,ADMN,6.0,6.0
9,ASSISTANCE-TECHNIQUE,ASSISTANCE-TECHNIQUE,,,MAKLADA,ADMN,7.0,7.0
10,CDDC-BC,CLAIR DOUX DRESSE COUPE,OF24-0149,1000,MAKLADA,PFCL,97.0,97.0
11,CDF-BC,FIL CLAIR DOUX,,430,MAKLADA,PFCL,,
12,CDF-BC,FIL CLAIR DOUX,,440,MAKLADA,PFCL,,
13,CDF-BC,FIL CLAIR DOUX,OF18-0177,470,MAKLADA,PFCL,100.0,100.0
14,CDF-BC,FIL CLAIR DOUX,,1000,MAKLADA,PFCL,,
15,CDF-BC,FIL CLAIR DOUX,,490,MAKLADA,PFCL,,
16,CDF-BC,FIL CLAIR DOUX,,520,MAKLADA,PFCL,,
17,CDF-BC,FIL CLAIR DOUX,,600,MAKLADA,PFCL,,
18,CDF-BC,FIL CLAIR DOUX,,800,MAKLADA,PFCL,,
19,CDF-BC,FIL CLAIR DOUX,OF25-0062,520,MAKLADA,PFCL,164.0,164.0
20,CDF-BC,FIL CLAIR DOUX,OF26-0187,520,MAKLADA,PFCL,1152.0,1152.0
21,CDF-BC,FIL CLAIR DOUX,OF26-0196,800,MAKLADA,PFCL,716.0,716.0
22,CDF-BC,FIL CLAIR DOUX,OF26-0200,1000,MAKLADA,PFCL,1217.0,887.0
23,CDF-BC,FIL CLAIR DOUX,OF26-0201,490,MAKLADA,PFCL,1569.0,1569.0
24,CDF-BC,FIL CLAIR DOUX,OF22-0318,1250,MAKLADA,PROD,,
25,CDF-BC,FIL CLAIR DOUX,OF23-0567,690,MAKLADA,PFCL,125.0,125.0
26,CDF-BC,FIL CLAIR DOUX,,180,MAKLADA,PFCL,,
27,CDF-BC,FIL CLAIR DOUX,,220,MAKLADA,PFCL,,
28,CDF-BC,FIL CLAIR DOUX,OF26-0197,220,MAKLADA,PFCL,791.0,791.0
29,CDF-BC,FIL CLAIR DOUX,,300,MAKLADA,PFCL,,
30,CDF-BC,FIL CLAIR DOUX,,390,MAKLADA,PFCL,,
31,CDF-BC,FIL CLAIR DOUX,,490,MAKLADA,PFCL,,
32,CDF-BC,FIL CLAIR DOUX,OF26-0206,300,MAKLADA,PFCL,1730.0,1730.0
33,CDF-BC,FIL CLAIR DOUX,OF26-0207,390,MAKLADA,PFCL,1942.0,1942.0
34,CDF-BC,FIL CLAIR DOUX,OF21-0216,1200,MAKLADA,PROD,,
35,CDF-BC,FIL CLAIR DOUX,OF21-0216,1200,MAKLADA,PROD,,
36,CDF-BC,FIL CLAIR DOUX,,150,MAKLADA,PFCL,,
37,CDF-BC,FIL CLAIR DOUX,,240,MAKLADA,PFCL,,
38,CDF-BC,FIL CLAIR DOUX,,306,MAKLADA,PFCL,,
39,CDF-BC,FIL CLAIR DOUX,,380,MAKLADA,PFCL,,
40,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
41,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
42,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
43,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
44,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
45,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
46,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
47,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
48,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
49,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
50,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
51,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
52,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
53,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
54,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
55,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
56,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
57,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
58,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
59,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
60,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
61,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
62,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
63,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
64,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
65,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,,
66,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,715.0,715.0
67,CDF-BC,FIL CLAIR DOUX,OF26-0198,306,MAKLADA,PFCL,521.0,
68,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,774.0,
69,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,803.0,
70,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,795.0,
71,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,812.0,
72,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,821.0,
73,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,793.0,
74,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,794.0,
75,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,783.0,
76,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,757.0,
77,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,732.0,
78,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,754.0,
79,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,742.0,
80,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,736.0,
81,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,791.0,
82,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,804.0,
83,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,801.0,
84,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,837.0,
85,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,729.0,
86,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,746.0,
87,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,783.0,
88,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,750.0,
89,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,798.0,
90,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,788.0,
91,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,729.0,
92,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,768.0,
93,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,763.0,
94,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,799.0,
95,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,844.0,
96,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,814.0,
97,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,768.0,
98,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,792.0,
99,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,790.0,
100,CDF-BC,FIL CLAIR DOUX,OF26-0213,306,MAKLADA,PFCL,791.0,
101,CDF-BC,FIL CLAIR DOUX,OF26-0175,306,MAKLADA,PROD,,
102,CDF-BC,FIL CLAIR DOUX,,600,MAKLADA,PFCL,,
103,CDF-BC,FIL CLAIR DOUX,,800,MAKLADA,PFCL,,
104,CDF-BC,FIL CLAIR DOUX,OF26-0149,600,MAKLADA,PFCL,250.0,250.0
105,CDF-BC,FIL CLAIR DOUX,OF26-0149,600,MAKLADA,PFCL,140.0,140.0
106,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PFCL,360.0,360.0
107,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PFCL,301.0,301.0
108,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PFCL,312.0,312.0
109,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PFCL,326.0,326.0
110,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PFCL,290.0,290.0
111,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PFCL,382.0,382.0
112,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PFCL,167.0,167.0
113,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
114,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
115,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
116,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
117,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
118,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
119,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
120,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
121,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
122,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
123,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
124,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
125,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
126,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
127,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
128,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
129,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
130,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
131,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
132,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
133,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
134,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
135,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
136,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
137,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
138,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
139,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
140,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
141,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
142,CDF-BC,FIL CLAIR DOUX,OF26-0185,600,MAKLADA,PFCL,,
143,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PROD,,
144,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PROD,,
145,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PROD,,
146,CDF-BC,FIL CLAIR DOUX,OF26-0184,800,MAKLADA,PROD,,
147,CDP-BC,FIL CLAIR DOUX PROPRE,OF17-0149,1075,MAKLADA,PFCL,974.0,974.0
148,CDP-BC,FIL CLAIR DOUX PROPRE,OF17-0520,1060,MAKLADA,PFCL,153.0,153.0
149,CDP-BC,FIL CLAIR DOUX PROPRE,OF17-0149,1075,MAKLADA,PFNC,115.0,115.0
150,CDP-BC,FIL CLAIR DOUX PROPRE,OF17-0292,1200,MAKLADA,PROD,,
151,CDP-BC,FIL CLAIR DOUX PROPRE,OF18-0060,890,MAKLADA,PFCL,145.0,145.0
152,CP3GC,JEU DE 3 GALETS DE CRANTAGES,,99,MAKLADA,CONSP,12.0,12.0
153,CP3GL,JEU DE 3 GALETS DE CRENELAGES,,99,MAKLADA,CONSP,16.0,16.0
154,CP3GL,JEU DE 3 GALETS DE CRENELAGES,,99,MAKLADA,CONSP,18.0,18.0
155,CP3GL,JEU DE 3 GALETS DE CRENELAGES,,99,MAKLADA,CONSP,11.0,11.0
156,CP3GL,JEU DE 3 GALETS DE CRENELAGES,,99,MAKLADA,CONSP,6.0,6.0
157,CPAZO,AZOTE,,99,MAKLADA,AZOTE,,
158,CPAZO,AZOTE,,SORTIES-MG,MAKLADA,PROD,2400.51,2400.51
159,CPBEA,BROCHE EN ACIER - RECTIFICATION DES FILIERES,,99,MAKLADA,FILIERE,222.0,222.0
160,CPBEB,BAGUETTE EN BOIS - RECTIFICATION DES FILIERES,,99,MAKLADA,FILIERE,131.0,131.0
161,CPBEB,BAGUETTE EN BOIS - RECTIFICATION DES FILIERES,,99,MAKLADA,FILIERE,180.0,180.0
162,CPBRD,BROCHE DIAMENTEE - RECTIFICATION DES FILIERES,,99,MAKLADA,FILIERE,72.0,72.0
163,CPBSM,BROSSE SPIRALE METALLIQUE,,99,MAKLADA,CONSP,21.0,21.0
164,CPBSP,BROSSE SPIRALE PLASTIQUE,,99,MAKLADA,CONSP,47.0,47.0
165,CPDST,DIAMANT SYNTHETIQUE EN PATE - RECTIFICATION DES FILIERES,,99,MAKLADA,FILIERE,1000.0,1000.0
166,CPEDT,EAU DISTILLEE TECHNIQUE,,99,MAKLADA,CONSP,3000.0,3000.0
167,CPEDT,EAU DISTILLEE TECHNIQUE,,SORTIES-MG,MAKLADA,PROD,194.322,194.322
168,CPEOS,EAU OSMOSEE,,SORTIES-MG,MAKLADA,PROD,,
169,CPFEK,FEUILLE KLINGERITE,,99,MAKLADA,FILIERE,1.0,1.0
170,CPHDC,HUILE DE COUPE SOLUBLE DANS L'EAU,,99,MAKLADA,CONSP,208.0,208.0
171,CPHDC,HUILE DE COUPE SOLUBLE DANS L'EAU,,SORTIES-MG,MAKLADA,PROD,75.0,75.0
172,CPHDP,HUILE DE PROTECTION,,99,MAKLADA,CONSP,525.0,525.0
173,CPHDP,HUILE DE PROTECTION,,SORTIES-MG,MAKLADA,PROD,56.37,56.37
174,CPJEX,JEX,,99,MAKLADA,CONSP,85.0,85.0
175,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,120.0,120.0
176,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,1350.0,1350.0
177,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,,
178,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,1650.0,1650.0
179,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,148.992,148.992
180,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,25.0,25.0
181,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,15.35,15.35
182,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,2750.0,2750.0
183,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,140.5,140.5
184,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,1575.0,1575.0
185,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,64.95,64.95
186,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,375.0,375.0
187,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,77.42,77.42
